push-up_rep,push-up_score,sit-up_rep,sit-up_score,run_time,run_score
47,20.0,54,20.0,10:23,60.0
46,19.8,53,19.7,10:51,59.5
45,19.6,52,19.4,11:06,59.0
44,19.4,51,19.0,11:22,58.5
43,19.2,50,18.8,11:38,58.0
42,19.0,49,18.0,11:56,57.5
41,18.8,48,17.8,12:14,57.0
40,18.6,47,17.6,12:33,56.5
39,18.4,46,17.2,12:53,56.0
38,18.2,45,17.0,13:14,55.5
37,18.0,44,16.0,13:36,55.0
36,17.8,43,15.6,14:00,54.5
35,17.6,42,15.0,14:25,54.0
34,17.2,41,14.0,14:52,53.5
33,17.0,40,13.6,15:20,52.0
32,16.8,39,13.0,15:50,50.5
31,16.6,38,12.0,16:22,49.0
30,16.4,37,9.0,16:57,46.0
29,16.2,36,6.0,17:34,42.5
28,16.0,35,3.0,18:14,39.0
27,15.0,inf,0.0,18:56,35.0
26,14.6,,,59:59,0.0
25,14.4,,,,
24,14.0,,,,
23,13.0,,,,
22,12.6,,,,
21,12.0,,,,
20,11.6,,,,
19,11.0,,,,
18,10.0,,,,
17,7.0,,,,
16,4.0,,,,
15,1.0,,,,
inf,0.0,,,,
